İL,İLÇE,MAHALLE,NÜFUS,NÜFUS_YOĞ.,EĞİTİM_DÜZEYİ,SOSYO_EKONOMİK_STATÜ,HANE_HALKI,TÜKETİM_EĞİLİMLERİ,GAYRİMENKUL_İŞLEMLERİ,GAYRİMENKUL_DAĞILIMI
ADANA,SEYHAN,FEVZİPAŞA,13110,10404,İLKOKUL,B,3.58,3717,282,6036
ADANA,SEYHAN,ZİYAPAŞA,8461,10193,LİSE,C,3.6,5244,69,4418
ADANA,CEYHAN,ULUS,5180,11511,LİSE,C,3.67,4009,160,2021
ADIYAMAN,MERKEZ,ALTINŞEHİR,21049,1525,LİSE,C,4.15,3749,,
AFYON,DİNAR,DİNAR,,,,,,,,
AFYON,EMİRDAĞ,YENİ,2061,570,LİSE,D,2.98,4392,68,2023
AFYON,MERKEZ,VEYSEL_KARANİ,4081,1111,İLKOKUL,C,3.64,3814,135,3333
AFYON,SANDIKLI,SANDIKLI,,,,,,,,
AKSARAY,MERKEZ,HACILAR_HARMANI,5321,1392,LİSE,C,3.52,2967,282,4378
AMASYA,MERKEZ,DADI,,,,,,,,
ANKARA,AKYURT,BALIKHİSAR,974,64.8,İLKOKUL,C,3.31,2829,112,1555
ANKARA,ALTINDAĞ,ZÜBEYDE_HANIM,15606,5613,LİSE,A,3.25,7136,283,12950
ANKARA,BEYPAZARI,AYVAŞIK,7537,384.5,İLKOKUL,B,2.93,2539,424,5012
ANKARA,ÇANKAYA,OĞUZLAR,7749,12498,LİSANS,A,3.04,8609,127,4362
ANKARA,ÇANKAYA,EHLİBEYT,2846,4992,LİSANS,A,2.76,9161,75,2423
ANKARA,ÇANKAYA,SANCAK,11006,11585,LİSANS,A,2.72,9245,206,5666
ANKARA,ÇANKAYA,KONUTKENT,8929,4650,LİSANS,A,2.21,10402,437,5672
ANKARA,ÇANKAYA,ÇAYYOLU,6701,2691,LİSANS,A,2.77,10549,117,4185
ANKARA,ÇANKAYA,BİRLİK,30567,9892,LİSANS,A,2.72,9359,567,14988
ANKARA,ETİMESGUT,ALTAY,13394,6060,LİSANS,A,2.43,7332,364,7643
ANKARA,ETİMESGUT,PİYADE,32692,27472,LİSE,C,3.39,3383,850,12147
ANKARA,ETİMESGUT,BAĞLICA,20109,1539,LİSANS,A,3.15,7604,2034,9898
ANKARA,ETİMESGUT,BAHÇEKAPI,4970,218,LİSANS,B,5.18,5300,178,6426
ANKARA,GÖLBAŞI,EYMİR,23324,2900,LİSANS,C,3.4,4922,894,8326
ANKARA,GÖLBAŞI,İNCEK,5409,381,LİSANS,A,3.11,8839,766,5122
ANKARA,KEÇİÖREN,KAVACIK_SUBAYEVLERİ,17061,12453,LİSE,A,2.97,7828,260,7412
ANKARA,MAMAK,GENERAL_ZEKİ_DOĞAN,32406,25317,LİSE,B,3.05,4941,710,13499
ANKARA,POLATLI,FATİH,11010,10194,İLKOKUL,B,3.43,2802,143,4549
ANKARA,PURSAKLAR,MERKEZ,36963,30051,LİSE,B,3.44,4625,784,14355
ANKARA,SİNCAN,GÖKÇEK,14536,11722,LİSE,B,3.21,2980,268,5766
ANKARA,YENİMAHALLE,MACUN,2510,845,LİSE,A,3.02,8258,200,3997
ANKARA,YENİMAHALLE,TEPEALTI,5516,27580,LİSANS,A,2.69,6515,88,2686
ANKARA,YENİMAHALLE,SERHAT,24592,3743,LİSANS,A,3.38,6563,1,9151
ANKARA,YENİMAHALLE,ERGAZİ,18302,10001,LİSE,A,2.76,5943,400,8059
