Dynobil Seyhan,₺600,"₺1,500","₺2,750","₺2,850",₺0,"₺5,100","₺1,200",₺500,₺200,"₺14,700"
Dynobil Ceyhan,₺600,"₺1,700","₺4,396","₺4,476","₺6,300","₺12,550","₺4,600","₺5,372","₺5,829","₺45,823"
"Dynobil Seyhan (E5 ŞUBESİ)",₺0,₺0,₺0,₺0,₺0,₺0,₺0,"₺1,000","₺3,000","₺4,000"
Dynobil Adıyaman,₺0,"₺2,100","₺4,600","₺5,200","₺8,500","₺9,000","₺4,000","₺5,000","₺4,000","₺42,400"
Dynobil Afyon,₺550,"₺1,100","₺3,340","₺4,300","₺4,900","₺7,100","₺3,850","₺5,400","₺3,550","₺34,090"
Dynobil Dinar,₺0,₺600,"₺1,500","₺3,000","₺3,000","₺3,500","₺1,750",₺750,"₺1,650","₺15,750"
Dynobil Emirdağ,₺0,₺0,₺0,"₺2,000","₺2,000","₺1,000","₺2,000","₺1,000","₺2,000","₺10,000"
Dynobil Sandıklı,₺0,₺500,₺600,₺950,₺700,"₺2,600",₺425,"₺2,900",₺450,"₺9,125"
Dynobil Amasya,₺0,"₺2,000","₺3,065","₺3,886","₺5,841","₺6,125","₺3,290","₺4,014","₺2,600","₺30,821"
Dynobil Balgat,₺0,"₺1,600","₺1,400","₺2,500","₺2,300","₺4,000","₺2,500","₺3,000","₺2,000","₺19,300"
Dynobil Gölbaşı,"₺1,500",₺0,₺0,"₺1,000","₺1,000","₺2,500","₺1,500","₺1,790","₺1,500","₺10,790"
Dynobil Sincan,"₺1,599","₺2,800","₺6,130","₺9,065","₺7,500","₺8,900","₺6,200","₺4,900","₺7,000","₺54,094"
Dynobil İskitler,₺0,"₺1,000","₺2,734","₺4,370","₺7,025","₺5,050","₺1,500","₺3,900","₺2,600","₺28,179"
Dynobil Çankaya,₺0,₺0,₺0,₺0,₺0,"₺1,500",₺0,₺0,"₺2,000","₺3,500"
Dynobil Keçiören,₺650,"₺2,200","₺3,640","₺3,375","₺3,350","₺5,715","₺3,720","₺2,960","₺3,281","₺28,891"
Dynobil Beypazarı,₺0,₺500,"₺2,000","₺2,500","₺2,600","₺5,100","₺1,000",₺680,₺0,"₺14,380"
Dynobil Yenimahalle,₺250,"₺1,770","₺3,800","₺5,470","₺7,740","₺11,650","₺3,550","₺3,500","₺3,750","₺41,480"
Dynobil Cevizlidere(BALGAT2),₺0,₺0,"₺2,500","₺4,202","₺4,000","₺6,500","₺4,500","₺4,000","₺5,500","₺31,202"
Dynobil Ostim,₺300,"₺1,100","₺1,800","₺3,100","₺3,630","₺5,125",₺0,"₺3,000","₺1,000","₺19,055"
Dynobil Eryaman,₺0,₺500,"₺1,100","₺1,650","₺1,900","₺1,602",₺700,"₺1,310","₺1,250","₺10,012"
Dynobil Bağlıca,₺600,"₺1,800","₺4,500","₺4,500","₺6,000","₺5,200","₺5,750","₺2,000","₺3,000","₺33,350"
Dynobil Etimesgut,₺600,₺990,"₺2,360","₺3,050","₺5,100","₺6,100","₺2,400","₺2,000","₺2,800","₺25,400"
Dynobil Yaşamkent,₺0,"₺1,400","₺2,000","₺2,900","₺3,045","₺5,700","₺1,600","₺2,500","₺2,850","₺21,995"
Dynobil Abidinpaşa,₺250,"₺3,000","₺4,355","₺7,910","₺9,200","₺8,500","₺6,200","₺6,495","₺5,950","₺51,860"
Dynobil Çayyolu,₺0,₺100,"₺2,000","₺2,000","₺5,700","₺3,500","₺3,000","₺1,600","₺2,650","₺20,550"
