,Unnamed: 0,name,formatted_address,Latitude,Longitude,closest_dynobil,closest_oponent,closest_noter,closest_galeri,NÜFUS,NÜFUS_YOĞ.,HANE_HALKI,TÜKETİM_EĞİLİMLERİ,GAYRİMENKUL_İŞLEMLERİ,GAYRİMENKUL_DAĞILIMI,EĞİTİM_DÜZEYİ_LİSANS,EĞİTİM_DÜZEYİ_LİSE,EĞİTİM_DÜZEYİ_ORTAOKUL,EĞİTİM_DÜZEYİ_İLKOKUL,SOSYO_EKONOMİK_STATÜ_A,SOSYO_EKONOMİK_STATÜ_B,SOSYO_EKONOMİK_STATÜ_C,SOSYO_EKONOMİK_STATÜ_D
0,0,DYNOBİL Adana E5 Oto Ekspertiz,"Fevzipaşa, DYNOBİL OTO EKSPERTİZ, Turhan Cemal Beriker Blv. 280\A D:E5, 01190 Seyhan/Adana, Turkey",36.9947881,35.2823149,4.113550966862781,0.0792227040796337,2.784239577498955,4.293019343813659,13110.0,10404.0,3.58,3717.0,282.0,6036.0,0,0,0,1,0,1,0,0
1,1,Dynobil Adana,"Ziyapaşa, Mustafa Kemal Paşa Blv. No:83/A, 01130 Seyhan/Adana, Turkey",37.007448,35.3257501,4.113550966862781,0.0188052621498178,0.1262752199064922,0.1961614687251659,8461.0,10193.0,3.6,5244.0,69.0,4418.0,0,1,0,0,0,0,1,0
2,2,Ceyhan Oto Ekspertiz,"Ulus, Cevher Dudayev Sk. No:79, 01940 Ceyhan/Adana, Turkey",37.02797839999999,35.8204224,35.88762611927901,0.1375972973808486,0.5237878518189735,0.4185866888902198,5180.0,11511.0,3.67,4009.0,160.0,2021.0,0,1,0,0,0,0,1,0
3,3,Adıyaman oto ekspertiz DYNOBİL kurumsal,"Altınşehir, 30151. Sk. No:3/A, 02040 Merkez/Adıyaman, Turkey",37.7399414,38.2245981,68.28988743879133,0.5801702161970217,0.7844822430398175,0.2801891955942293,21049.0,1525.0,4.15,3749.0,218.0,5122.0,0,1,0,0,0,0,1,0
4,4,DYNOBİL Dinar Oto Ekspertiz,"Yeni Sanayi Sitesi 03 Blok No:2, 03400 Dinar/Afyonkarahisar, Turkey",38.04399859999999,30.1084424,38.73878258448151,5.330874215936071,5.764948181912646,5.03275857294304,8398.5,4443.5,3.205,4238.0,218.0,5122.0,0,1,0,0,0,0,1,0
5,5,DYNOBIL OTO EKSPERTIZ,"Yeni Mah. Sanayi Sitesi 3085 Sk. No:20, 03600 Emirdağ/Afyonkarahisar, Turkey",39.0316896,31.1625734,56.71066173990771,2.2581125424962,1.4543985568436562,56.0035186878269,2061.0,570.0,2.98,4392.0,68.0,2023.0,0,1,0,0,0,0,0,1
6,6,AFYON OTO EKSPERTİZ - DYNOBİL,"Veysel Karani, 1140. Sk. NO:3/A, 03030 Afyonkarahisar Merkez/Afyonkarahisar, Turkey",38.7775397,30.5954433,46.53146299527543,0.0058163803336154,4.323286049941547,0.7461482002872981,4081.0,1111.0,3.64,3814.0,135.0,3333.0,0,0,0,1,0,0,1,0
7,7,SANDIKLI DYNOBİL KURUMSAL OTO EKSPERTİZ GÜÇLÜ OTOMOTİV,"Şirinevler, güçlü otomotiv, 5.cadde no 34, 03500 Sandıklı/Afyonkarahisar, Turkey",38.4483615,30.264682,46.53146299527543,1.363980521491355,1.9482545906581448,0.3881675782411145,8398.5,4443.5,3.205,4238.0,218.0,5122.0,0,1,0,0,0,0,1,0
8,8,Dynobil Aksaray Oto Ekspertiz,"Hacılarharmanı, mah mobilyacılar sitesi no:9/C D:C blok, 68100 Aksaray Merkez/Aksaray, Turkey",38.3534493,33.9852476,68.02305008517978,0.1349391419119816,0.2036137399126572,0.2148211193130842,5321.0,1392.0,3.52,2967.0,282.0,4378.0,0,1,0,0,0,0,1,0
9,9,DYNOBİL AMASYA TÜRKİYE`NİN VE AMASYA`NIN İLK VE TEK KURUMSAL EKSPERTİZ SERVİSİ,"Küçük Sanayi Sitesi Dadı Mah.Mücavir Meziyet Sok. 9/A, 05000 Amasya, Turkey",40.564498,35.791589,32.49878675805724,0.0167635923046294,9.83648326166782,10.742311404792307,8398.5,4443.5,3.205,4238.0,218.0,5122.0,0,1,0,0,0,0,1,0
